0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:50:33 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4657
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:50:36 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 500 2458
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:50:39 +0600] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 7714
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:50:41 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 500 2458
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:50:46 +0600] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 5068
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:50:47 +0600] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 7714
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:50:48 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 500 2458
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:52:36 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:52:39 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:52:40 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4657
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:14 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4657
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:26 +0600] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:26 +0600] "GET /Ebook-App/index.jsp HTTP/1.1" 200 9893
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:28 +0600] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 5170
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:29 +0600] "GET /Ebook-App/cart?bid=5&&uid=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:29 +0600] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 8150
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:32 +0600] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 5170
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:34 +0600] "GET /Ebook-App/view_books.jsp?bid=5 HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:36 +0600] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 7837
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:37 +0600] "GET /Ebook-App/view_books.jsp?bid=5 HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:38 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 4507
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:39 +0600] "GET /Ebook-App/view_books.jsp?bid=1 HTTP/1.1" 200 4955
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:41 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 4507
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:43 +0600] "GET /Ebook-App/cart?bid=1&&uid=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:43 +0600] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 8150
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:44 +0600] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 7837
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:45 +0600] "GET /Ebook-App/cart?bid=5&&uid=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:45 +0600] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 8150
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:47 +0600] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 5170
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:49 +0600] "GET /Ebook-App/cart?bid=5&&uid=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:49 +0600] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 8150
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:51 +0600] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 7837
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:53 +0600] "GET /Ebook-App/view_books.jsp?bid=5 HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:55 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 4507
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:56 +0600] "GET /Ebook-App/view_books.jsp?bid=1 HTTP/1.1" 200 4955
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:57 +0600] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 5170
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:53:58 +0600] "GET /Ebook-App/view_books.jsp?bid=5 HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:54:00 +0600] "GET /Ebook-App/index.jsp HTTP/1.1" 200 9893
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:54:15 +0600] "POST /Ebook-App/search.jsp HTTP/1.1" 200 6348
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:54:17 +0600] "GET /Ebook-App/view_books.jsp?bid=2 HTTP/1.1" 200 4952
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:54:21 +0600] "POST /Ebook-App/search.jsp HTTP/1.1" 200 6348
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:54:22 +0600] "GET /Ebook-App/search.jsp HTTP/1.1" 200 3836
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:57:32 +0600] "GET /Ebook-App/logout HTTP/1.1" 302 -
